date,synergy_score,revenue,event_match,is_weekend,month
2024-05-12,0.7374585207658274,15380000.0,Harbuknas,True,2024-05-01
2024-05-19,0.7374585207658274,27190000.0,Harbuknas,True,2024-05-01
2024-05-20,0.7035654511335396,13585000.0,Harbuknas,False,2024-05-01
2024-06-15,0.5377450755155357,15205000.0,UAS Genap,True,2024-06-01
2024-06-22,0.5377450755155357,13460000.0,UAS Genap,True,2024-06-01
2024-07-06,0.5338930696322878,17035000.0,,True,2024-07-01
2024-07-14,0.5338930696322878,20865000.0,,True,2024-07-01
2024-07-20,0.5338930696322878,20775000.0,,True,2024-07-01
2024-07-28,0.5338930696322878,18540000.0,,True,2024-07-01
2024-08-10,0.5513881246609432,17970000.0,Awal Semester Ganjil,True,2024-08-01
2024-08-17,0.5513881246609432,14405000.0,Awal Semester Ganjil,True,2024-08-01
2024-08-25,0.5513881246609432,11805000.0,PKKMB/Orientasi Maba,True,2024-08-01
2024-08-31,0.5513881246609432,14445000.0,PKKMB/Orientasi Maba,True,2024-08-01
2024-10-19,0.5258137472201561,13560000.0,UTS Ganjil,True,2024-10-01
2024-10-26,0.5258137472201561,14475000.0,UTS Ganjil,True,2024-10-01
2025-05-11,0.7813039333539492,16750000.0,Harbuknas,True,2025-05-01
2025-05-18,0.7813039333539492,22095000.0,Harbuknas,True,2025-05-01
2025-05-24,0.7813039333539492,16385000.0,Harbuknas,True,2025-05-01
2025-06-15,0.5306065656002342,13620000.0,UAS Genap,True,2025-06-01
2025-06-21,0.5306065656002342,13785000.0,UAS Genap,True,2025-06-01
